Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Moisture,Soil Type,Crop Type,Fertilizer Name
3,15,23,43.3,95.2,53.4,Clayey,Maize,Urea
139,123,32,28.7,60.9,57.1,Red,Ground Nuts,14-35-14
73,42,43,23.2,32.5,28.9,Sandy,Cotton,14-35-14
34,80,89,24.6,86.7,11.2,Loamy,Cotton,DAP
134,57,113,33.9,89.5,46.8,Sandy,Cotton,14-35-14
137,100,200,32.1,63.5,46.6,Clayey,Paddy,10-26-26
95,36,11,27.9,78.6,47.7,Loamy,Tobacco,17-17-17
112,61,83,39.8,41.5,54.8,Sandy,Oil seeds,14-35-14
139,75,8,24.6,95.7,57.5,Red,Maize,28-28
110,143,116,17.8,65.8,37.7,Loamy,Cotton,17-17-17
56,38,108,42.9,97.8,59.8,Clayey,Tobacco,DAP
74,145,75,35.6,86.0,53.3,Black,Paddy,10-26-26
136,26,121,19.4,58.1,21.7,Loamy,Millets,DAP
64,85,144,43.4,98.8,47.7,Clayey,Millets,Urea
107,90,201,42.2,23.6,34.6,Clayey,Cotton,10-26-26
125,57,147,18.6,24.1,42.5,Red,Sugarcane,20-20
91,112,152,41.1,33.2,58.2,Black,Maize,10-26-26
19,145,46,33.9,73.8,32.7,Clayey,Paddy,17-17-17
11,73,15,41.7,53.2,41.0,Black,Barley,28-28
91,89,135,25.6,64.2,13.9,Loamy,Millets,20-20
140,45,34,39.7,95.7,46.3,Sandy,Ground Nuts,14-35-14
9,55,29,41.0,17.9,11.3,Loamy,Oil seeds,14-35-14
10,84,25,26.4,97.4,52.1,Sandy,Maize,28-28
104,98,128,15.4,20.5,44.6,Loamy,Maize,10-26-26
101,2,180,32.6,76.4,47.9,Clayey,Paddy,DAP
84,77,200,18.9,96.0,40.3,Sandy,Cotton,14-35-14
31,33,91,23.1,15.9,34.9,Sandy,Maize,28-28
122,49,11,39.5,97.2,14.4,Black,Barley,DAP
111,46,150,37.7,67.3,45.2,Sandy,Ground Nuts,14-35-14
37,49,97,34.1,61.7,14.6,Red,Cotton,14-35-14
78,29,105,40.9,95.7,17.4,Red,Sugarcane,DAP
73,16,83,28.8,98.3,34.6,Sandy,Millets,DAP
114,110,150,18.8,27.1,16.9,Black,Ground Nuts,14-35-14
103,131,183,27.3,89.2,35.8,Red,Millets,20-20
20,4,91,25.4,16.7,37.4,Black,Pulses,Urea
11,89,45,25.9,57.3,44.5,Sandy,Paddy,Urea
46,120,55,41.2,93.2,13.1,Sandy,Pulses,14-35-14
0,7,112,32.9,98.8,36.8,Red,Pulses,Urea
27,77,129,37.4,17.2,22.6,Loamy,Millets,20-20
17,37,114,22.3,37.2,28.9,Black,Wheat,Urea
16,85,125,18.6,90.6,39.7,Sandy,Pulses,14-35-14
66,108,145,17.6,60.2,39.3,Loamy,Tobacco,17-17-17
82,41,168,25.1,91.4,40.4,Sandy,Millets,Urea
120,32,180,18.1,27.1,22.3,Clayey,Ground Nuts,DAP
61,93,94,16.7,86.4,12.6,Black,Tobacco,10-26-26
35,5,65,32.3,92.9,10.3,Clayey,Millets,20-20
61,78,202,32.1,38.1,48.5,Black,Millets,Urea
18,19,112,30.9,74.8,48.4,Red,Barley,Urea
125,138,99,24.6,65.1,28.5,Clayey,Barley,28-28
4,137,171,21.1,72.9,14.4,Loamy,Millets,Urea
8,142,151,33.2,82.3,15.3,Sandy,Oil seeds,14-35-14
77,116,119,44.7,31.6,29.0,Red,Paddy,Urea
63,92,71,39.8,78.5,50.0,Red,Millets,20-20
82,122,77,30.7,44.9,53.9,Clayey,Paddy,Urea
124,96,22,28.2,63.7,27.8,Black,Sugarcane,20-20
52,103,103,33.7,24.1,57.0,Loamy,Wheat,28-28
41,14,110,33.6,59.9,54.7,Black,Wheat,DAP
37,96,154,37.3,16.9,38.5,Clayey,Tobacco,10-26-26
122,73,96,18.1,60.1,28.9,Clayey,Pulses,14-35-14
14,135,4,29.6,49.2,48.6,Red,Millets,Urea
35,25,42,33.0,85.1,58.0,Black,Cotton,20-20
45,106,139,42.4,26.0,15.0,Loamy,Barley,28-28
99,67,132,42.7,74.8,17.6,Red,Maize,10-26-26
50,28,205,43.0,93.6,32.5,Sandy,Pulses,DAP
89,109,163,18.7,93.2,53.5,Clayey,Paddy,10-26-26
52,136,201,39.1,14.4,26.7,Black,Wheat,28-28
89,74,37,25.4,43.8,46.9,Sandy,Tobacco,Urea
107,24,198,20.0,16.9,25.6,Black,Ground Nuts,DAP
113,48,198,44.3,53.5,37.9,Loamy,Ground Nuts,14-35-14
62,103,48,24.0,40.7,29.9,Red,Barley,28-28
61,31,157,20.7,17.1,33.6,Black,Cotton,DAP
17,0,77,36.4,59.4,36.7,Black,Millets,Urea
62,131,128,25.0,20.5,47.7,Loamy,Maize,10-26-26
109,123,86,44.4,86.2,53.3,Loamy,Pulses,14-35-14
56,66,186,30.2,65.2,27.0,Sandy,Millets,Urea
91,7,161,39.2,99.0,40.2,Sandy,Cotton,DAP
54,6,73,17.6,31.9,11.3,Red,Ground Nuts,DAP
28,81,1,42.3,67.7,26.8,Red,Cotton,14-35-14
118,139,19,33.7,49.2,37.6,Black,Sugarcane,20-20
98,85,107,19.2,88.7,34.4,Clayey,Sugarcane,20-20
113,114,13,37.3,74.1,30.1,Sandy,Wheat,28-28
3,28,108,35.7,72.8,51.1,Black,Oil seeds,Urea
99,40,165,17.0,48.9,34.9,Loamy,Paddy,28-28
105,85,26,42.0,89.2,39.9,Clayey,Wheat,28-28
137,144,153,27.1,80.3,31.1,Clayey,Oil seeds,14-35-14
53,106,192,17.5,65.9,22.3,Red,Sugarcane,10-26-26
39,10,163,36.6,39.6,38.3,Black,Paddy,DAP
55,32,35,31.2,27.9,52.1,Clayey,Sugarcane,DAP
108,72,200,25.5,49.5,45.2,Black,Maize,10-26-26
24,38,34,39.6,82.7,44.7,Loamy,Millets,Urea
11,18,100,17.7,92.9,16.8,Loamy,Barley,Urea
54,46,11,31.3,89.1,46.6,Sandy,Pulses,14-35-14
117,24,88,34.4,73.6,12.6,Sandy,Paddy,DAP
15,144,150,31.7,54.7,25.6,Loamy,Pulses,14-35-14
114,71,58,43.3,54.8,53.1,Sandy,Paddy,10-26-26
102,16,13,32.9,33.8,16.0,Loamy,Cotton,DAP
36,107,38,24.5,60.4,49.5,Black,Sugarcane,Urea
15,107,125,27.5,53.7,59.5,Sandy,Sugarcane,14-35-14
140,17,159,43.0,20.0,10.5,Clayey,Wheat,DAP
61,15,183,23.2,48.3,14.6,Clayey,Maize,DAP
132,64,176,18.3,44.5,24.4,Red,Wheat,28-28
36,72,142,26.5,72.4,20.9,Loamy,Tobacco,17-17-17
60,123,197,44.5,90.0,40.0,Clayey,Pulses,14-35-14
51,3,58,27.0,86.1,21.5,Sandy,Sugarcane,DAP
109,73,106,20.3,33.0,19.3,Clayey,Cotton,14-35-14
4,53,46,21.5,58.6,39.9,Clayey,Millets,Urea
81,61,144,19.6,84.2,21.2,Loamy,Ground Nuts,14-35-14
88,72,67,32.4,21.9,53.9,Clayey,Millets,Urea
75,8,39,42.9,77.2,24.1,Black,Oil seeds,DAP
132,89,145,17.4,32.9,44.2,Black,Barley,28-28
80,113,39,41.5,58.4,55.3,Clayey,Paddy,14-35-14
39,90,204,23.0,89.6,49.9,Loamy,Millets,Urea
58,47,168,25.0,34.5,56.5,Black,Maize,10-26-26
6,132,44,41.2,16.5,51.3,Black,Tobacco,DAP
38,81,99,31.7,79.1,22.9,Clayey,Ground Nuts,14-35-14
45,112,16,18.5,46.4,10.5,Clayey,Sugarcane,17-17-17
73,62,155,34.0,94.2,15.1,Black,Cotton,28-28
67,16,11,17.0,64.1,27.3,Red,Tobacco,DAP
49,13,191,35.3,52.4,42.4,Black,Pulses,DAP
6,28,138,39.6,46.0,50.9,Clayey,Tobacco,Urea
25,28,3,27.8,52.8,18.2,Loamy,Ground Nuts,Urea
74,115,31,17.5,72.5,42.7,Clayey,Wheat,28-28
80,125,183,28.0,95.2,31.0,Black,Ground Nuts,14-35-14
5,130,0,24.6,76.3,47.3,Red,Ground Nuts,14-35-14
24,23,11,31.9,54.6,37.2,Sandy,Cotton,Urea
92,52,7,38.1,86.7,48.1,Sandy,Oil seeds,14-35-14
23,59,121,33.5,82.5,34.1,Clayey,Cotton,20-20
125,83,8,21.0,56.3,13.2,Sandy,Wheat,28-28
116,129,87,28.0,98.7,17.5,Clayey,Barley,28-28
63,81,109,44.2,76.1,42.8,Loamy,Paddy,Urea
101,135,10,29.4,23.0,22.1,Red,Maize,28-28
96,1,32,41.5,21.1,51.2,Red,Oil seeds,DAP
102,89,173,35.8,84.6,12.1,Loamy,Pulses,14-35-14
60,122,133,32.8,67.0,40.6,Black,Maize,10-26-26
7,71,177,33.8,81.4,40.6,Loamy,Oil seeds,14-35-14
83,131,133,39.5,52.9,42.2,Black,Wheat,28-28
105,13,202,36.7,65.0,42.5,Red,Oil seeds,DAP
121,54,99,37.3,89.0,31.7,Clayey,Oil seeds,14-35-14
81,145,149,25.0,60.7,34.7,Red,Cotton,14-35-14
34,92,181,15.9,36.2,33.1,Black,Pulses,14-35-14
23,36,3,37.1,80.0,35.2,Loamy,Paddy,Urea
95,104,163,15.9,48.0,40.3,Sandy,Sugarcane,20-20
5,38,169,44.8,38.4,28.0,Red,Sugarcane,Urea
17,39,20,37.0,25.3,45.8,Clayey,Cotton,Urea
13,77,1,20.4,87.5,34.6,Loamy,Wheat,28-28
124,110,13,30.4,44.9,39.6,Red,Barley,28-28
122,88,27,22.7,70.5,26.3,Sandy,Barley,28-28
44,46,30,22.1,20.3,18.5,Red,Millets,Urea
93,104,0,28.5,64.6,57.4,Red,Pulses,14-35-14
27,120,106,37.1,71.1,33.7,Red,Oil seeds,14-35-14
55,110,133,21.2,23.6,23.5,Red,Maize,10-26-26
36,19,25,16.2,24.5,32.6,Sandy,Sugarcane,DAP
68,11,19,44.6,97.0,10.2,Black,Paddy,DAP
49,28,184,32.4,35.9,36.1,Sandy,Sugarcane,DAP
37,83,150,15.9,40.5,45.2,Red,Wheat,28-28
118,7,84,17.8,71.8,32.2,Red,Pulses,DAP
54,118,170,35.5,56.8,40.9,Loamy,Paddy,10-26-26
75,71,88,35.7,72.2,20.8,Sandy,Millets,Urea
104,89,189,34.7,99.9,12.4,Clayey,Paddy,10-26-26
88,12,72,17.7,38.8,15.5,Sandy,Oil seeds,DAP
101,131,101,28.1,91.5,53.9,Clayey,Sugarcane,20-20
108,74,128,18.6,60.8,10.3,Black,Wheat,28-28
59,92,160,22.1,46.1,21.4,Red,Maize,10-26-26
98,109,205,33.6,53.9,29.0,Black,Pulses,14-35-14
116,11,132,27.0,63.9,36.7,Loamy,Pulses,DAP
107,122,170,15.5,30.8,10.4,Loamy,Ground Nuts,14-35-14
24,35,202,26.4,31.0,34.0,Red,Paddy,Urea
77,124,195,22.7,38.5,25.4,Loamy,Cotton,10-26-26
1,76,131,39.7,58.9,16.2,Loamy,Cotton,28-28
70,55,169,20.6,92.9,31.2,Clayey,Pulses,14-35-14
119,105,46,43.5,65.7,51.0,Sandy,Barley,28-28
136,25,8,34.4,29.0,28.0,Red,Barley,DAP
90,36,67,23.2,84.7,31.2,Sandy,Pulses,14-35-14
68,48,107,40.9,32.6,14.8,Sandy,Pulses,14-35-14
10,137,200,26.7,65.1,34.8,Black,Paddy,10-26-26
66,41,117,28.4,76.3,10.8,Clayey,Cotton,28-28
101,41,31,23.2,20.8,14.3,Red,Cotton,14-35-14
130,72,135,26.0,43.5,40.9,Red,Maize,10-26-26
129,4,171,22.0,60.4,54.0,Red,Maize,DAP
43,124,57,25.0,71.6,59.7,Black,Sugarcane,DAP
34,97,29,25.0,63.9,14.4,Sandy,Barley,28-28
30,46,54,31.1,22.3,32.5,Clayey,Paddy,28-28
135,2,143,26.5,24.3,58.7,Red,Maize,DAP
103,107,64,40.3,58.8,41.2,Clayey,Barley,28-28
15,37,141,18.5,33.6,27.1,Sandy,Sugarcane,Urea
1,74,66,26.9,52.5,40.0,Clayey,Oil seeds,14-35-14
85,59,100,26.7,57.1,29.9,Black,Wheat,28-28
34,133,66,38.7,40.2,14.0,Loamy,Barley,28-28
65,90,129,21.7,96.3,38.7,Black,Paddy,10-26-26
53,32,163,33.2,26.0,54.9,Sandy,Sugarcane,DAP
133,24,140,26.0,19.9,11.3,Black,Tobacco,DAP
11,31,127,28.0,40.8,35.3,Red,Oil seeds,Urea
59,133,159,21.5,67.3,42.5,Clayey,Sugarcane,10-26-26
4,9,88,16.7,99.6,12.9,Black,Cotton,Urea
82,136,98,17.2,81.3,23.3,Sandy,Millets,Urea
3,102,39,39.4,66.9,25.3,Red,Maize,28-28
123,62,115,27.1,70.3,27.7,Red,Tobacco,14-35-14
85,132,182,27.5,55.4,11.0,Clayey,Barley,28-28
57,119,166,33.6,41.8,51.7,Loamy,Paddy,10-26-26
81,138,190,30.0,36.9,17.5,Clayey,Paddy,10-26-26
51,111,81,29.3,46.3,29.7,Loamy,Tobacco,17-17-17
20,41,140,19.0,22.8,42.9,Loamy,Barley,DAP
129,59,47,22.6,86.3,11.9,Sandy,Oil seeds,14-35-14
27,33,7,41.9,68.8,40.7,Clayey,Millets,Urea
68,86,100,16.4,17.3,47.3,Clayey,Wheat,28-28
16,132,147,37.1,44.4,24.8,Clayey,Maize,10-26-26
134,27,50,20.2,22.5,43.0,Red,Ground Nuts,DAP
37,110,111,44.0,39.4,48.5,Loamy,Millets,Urea
48,35,125,22.8,20.0,58.0,Loamy,Sugarcane,10-26-26
139,90,1,33.1,64.1,47.4,Loamy,Sugarcane,20-20
9,14,16,42.8,33.3,28.6,Black,Sugarcane,Urea
113,21,157,42.8,72.1,34.8,Red,Ground Nuts,DAP
121,31,118,41.4,36.2,37.2,Clayey,Maize,DAP
125,135,45,36.9,80.8,42.8,Clayey,Paddy,14-35-14
88,21,91,16.3,28.2,16.6,Black,Barley,DAP
49,94,150,40.2,77.0,37.1,Black,Tobacco,10-26-26
117,18,22,35.7,89.1,41.8,Black,Maize,DAP
71,128,107,36.8,99.3,15.0,Loamy,Paddy,DAP
9,127,45,33.5,30.2,27.8,Black,Sugarcane,17-17-17
85,89,57,16.1,78.1,20.1,Red,Oil seeds,14-35-14
120,19,74,37.7,86.4,33.5,Clayey,Sugarcane,DAP
131,110,124,34.3,81.1,20.9,Clayey,Cotton,DAP
53,102,148,15.9,28.4,19.1,Clayey,Paddy,10-26-26
118,70,3,30.3,76.2,15.2,Sandy,Tobacco,DAP
131,119,23,35.3,83.2,23.5,Red,Wheat,28-28
62,109,149,35.9,78.1,59.1,Sandy,Cotton,14-35-14
18,93,182,37.1,34.3,28.6,Red,Paddy,10-26-26
46,56,117,34.3,50.2,41.8,Black,Maize,10-26-26
74,102,136,43.5,31.5,38.3,Red,Ground Nuts,14-35-14
2,106,112,32.6,64.4,44.9,Loamy,Pulses,14-35-14
50,34,45,21.8,46.4,33.1,Clayey,Ground Nuts,DAP
73,4,99,19.0,20.9,46.4,Sandy,Tobacco,DAP
128,23,56,15.2,18.9,21.3,Black,Sugarcane,DAP
35,107,105,23.5,36.5,22.3,Red,Oil seeds,14-35-14
79,143,181,27.9,86.7,23.4,Loamy,Millets,Urea
83,81,106,19.2,59.8,30.6,Black,Tobacco,10-26-26
119,127,141,36.9,98.4,22.8,Loamy,Barley,28-28
48,114,88,43.4,97.2,19.2,Loamy,Cotton,Urea
126,70,85,31.8,59.0,15.7,Clayey,Sugarcane,20-20
42,85,176,31.3,21.0,32.9,Red,Sugarcane,10-26-26
84,4,1,34.9,32.6,14.9,Loamy,Maize,DAP
85,75,87,38.6,23.6,27.8,Clayey,Cotton,14-35-14
31,134,20,19.9,42.4,47.8,Sandy,Cotton,14-35-14
78,115,91,22.7,95.4,38.0,Clayey,Barley,28-28
65,130,199,23.5,47.6,49.9,Sandy,Pulses,14-35-14
22,88,122,26.4,80.7,58.2,Red,Wheat,28-28
73,7,151,25.7,79.1,23.8,Red,Millets,DAP
46,142,175,41.9,58.7,32.4,Sandy,Millets,Urea
108,2,26,23.3,98.6,17.0,Black,Sugarcane,DAP
123,106,100,28.2,66.9,14.2,Clayey,Maize,28-28
138,45,118,44.0,49.9,59.2,Red,Oil seeds,14-35-14
3,101,58,19.9,15.1,38.0,Clayey,Paddy,Urea
125,132,188,25.1,39.5,55.9,Sandy,Tobacco,10-26-26
59,120,138,42.0,70.0,25.7,Black,Barley,28-28
130,75,29,20.2,75.2,51.3,Loamy,Millets,Urea
33,40,50,28.5,78.4,42.6,Black,Paddy,10-26-26
68,107,138,40.3,35.8,11.6,Sandy,Barley,28-28
46,123,0,40.1,38.0,42.1,Loamy,Sugarcane,28-28
46,37,142,21.4,16.9,25.2,Sandy,Pulses,14-35-14
38,136,98,16.8,91.3,42.5,Red,Tobacco,20-20
90,97,119,26.4,33.5,29.1,Black,Ground Nuts,14-35-14
29,77,83,15.5,50.2,11.4,Black,Cotton,20-20
82,109,178,39.8,74.1,52.0,Sandy,Wheat,28-28
123,118,120,23.4,89.1,15.6,Sandy,Wheat,28-28
60,29,8,15.4,54.3,25.1,Clayey,Barley,DAP
77,40,195,16.9,89.4,53.9,Clayey,Ground Nuts,14-35-14
119,126,182,30.9,86.1,24.3,Sandy,Barley,28-28
63,49,148,16.9,85.5,39.9,Black,Cotton,Urea
136,67,34,39.9,89.6,38.6,Clayey,Paddy,17-17-17
75,46,14,33.1,90.8,32.2,Red,Wheat,DAP
50,37,19,38.7,69.0,43.8,Clayey,Millets,Urea
66,85,193,23.1,54.7,59.2,Red,Tobacco,10-26-26
60,11,5,16.4,26.0,23.8,Sandy,Millets,DAP
92,108,98,20.9,66.5,24.0,Sandy,Maize,28-28
140,48,45,16.5,85.7,52.2,Sandy,Millets,Urea
61,105,106,16.3,37.9,50.8,Clayey,Wheat,28-28
16,87,20,25.4,57.6,53.7,Sandy,Maize,28-28
138,76,126,23.2,47.9,31.1,Black,Ground Nuts,14-35-14
108,11,188,24.3,84.8,57.8,Clayey,Millets,DAP
7,90,173,16.5,36.2,13.0,Clayey,Pulses,14-35-14
67,126,163,26.1,24.4,30.9,Loamy,Tobacco,17-17-17
75,121,142,37.5,49.5,42.3,Sandy,Tobacco,10-26-26
50,74,204,15.3,68.7,55.7,Loamy,Pulses,14-35-14
2,83,197,18.6,91.6,13.3,Red,Oil seeds,14-35-14
80,11,162,28.5,21.3,30.0,Loamy,Millets,DAP
61,48,126,25.3,76.7,42.6,Clayey,Paddy,28-28
98,118,72,24.2,81.9,32.3,Black,Paddy,10-26-26
78,40,62,18.0,90.5,10.6,Black,Cotton,14-35-14
123,33,183,20.0,69.5,12.2,Red,Oil seeds,DAP
46,18,156,30.5,46.6,10.3,Sandy,Maize,DAP
48,112,37,40.4,59.7,52.1,Black,Ground Nuts,14-35-14
64,30,131,20.0,97.6,21.4,Red,Millets,DAP
66,74,44,26.5,17.4,11.5,Black,Millets,Urea
49,5,58,19.4,56.0,16.5,Black,Pulses,DAP
36,123,100,29.2,52.2,59.7,Clayey,Pulses,14-35-14
28,76,58,43.8,47.5,29.3,Sandy,Oil seeds,14-35-14
68,48,140,31.3,79.5,51.7,Red,Barley,DAP
41,97,159,36.3,29.2,35.4,Black,Cotton,10-26-26
138,102,67,25.4,63.9,17.0,Red,Paddy,14-35-14
16,98,81,33.7,63.0,41.0,Black,Sugarcane,17-17-17
7,27,4,29.3,60.7,21.4,Clayey,Wheat,Urea
97,10,53,31.0,88.8,16.5,Clayey,Ground Nuts,DAP
4,19,168,41.3,95.2,17.4,Red,Ground Nuts,Urea
47,107,51,40.9,64.6,28.8,Loamy,Cotton,20-20
81,91,178,33.1,64.9,50.3,Sandy,Ground Nuts,14-35-14
71,115,172,28.2,86.8,54.7,Sandy,Cotton,14-35-14
68,12,174,33.8,93.7,11.0,Black,Cotton,DAP
66,53,137,19.0,39.7,27.9,Clayey,Barley,28-28
34,29,56,38.8,99.2,20.0,Sandy,Sugarcane,DAP
64,35,24,34.0,19.9,10.3,Black,Maize,28-28
127,126,0,40.4,66.8,14.4,Clayey,Millets,Urea
98,71,2,34.0,63.6,44.9,Black,Tobacco,17-17-17
101,15,65,17.3,57.1,49.7,Black,Cotton,DAP
65,12,183,23.9,34.0,24.1,Red,Barley,DAP
117,52,38,21.8,69.1,58.9,Black,Millets,Urea
56,24,30,41.7,57.3,32.5,Black,Paddy,DAP
53,51,147,35.5,34.8,45.7,Red,Pulses,14-35-14
78,21,29,30.6,26.3,48.8,Clayey,Tobacco,DAP
118,33,81,39.7,76.1,23.6,Red,Sugarcane,DAP
92,17,95,32.8,91.0,39.2,Sandy,Maize,DAP
133,68,171,37.2,41.2,15.1,Sandy,Millets,Urea
99,81,142,43.3,50.3,28.9,Sandy,Cotton,14-35-14
59,119,182,15.1,28.4,45.7,Red,Millets,Urea
10,16,195,36.1,39.6,15.3,Red,Maize,Urea
139,36,41,18.1,56.9,29.3,Black,Cotton,Urea
104,123,198,38.0,49.8,51.1,Loamy,Cotton,10-26-26
72,53,183,34.4,82.5,47.7,Sandy,Sugarcane,20-20
7,6,35,37.2,41.1,42.2,Sandy,Sugarcane,Urea
53,64,99,17.6,17.7,43.3,Red,Paddy,Urea
52,43,46,40.1,15.3,29.0,Loamy,Barley,DAP
80,99,141,27.4,56.4,30.2,Loamy,Millets,Urea
23,28,170,41.3,17.6,29.9,Red,Barley,Urea
118,15,174,21.6,25.3,52.9,Red,Maize,DAP
133,134,152,38.2,58.5,27.4,Clayey,Barley,28-28
134,110,50,15.7,91.3,49.2,Clayey,Ground Nuts,14-35-14
58,131,103,17.0,33.6,22.3,Clayey,Oil seeds,14-35-14
3,89,103,43.3,81.5,59.6,Red,Wheat,28-28
31,27,21,26.0,33.4,19.8,Black,Sugarcane,DAP
24,137,44,23.3,98.4,36.4,Loamy,Oil seeds,14-35-14
64,48,174,42.5,39.0,33.5,Red,Tobacco,10-26-26
25,113,4,29.9,33.8,12.2,Loamy,Oil seeds,14-35-14
14,60,121,35.4,20.6,23.7,Loamy,Maize,10-26-26
77,45,140,28.8,62.2,53.2,Loamy,Barley,DAP
107,74,76,30.8,47.7,43.0,Red,Millets,Urea
47,63,186,44.4,63.0,23.0,Black,Tobacco,Urea
54,101,117,15.4,15.2,51.5,Black,Sugarcane,17-17-17
97,16,106,26.9,95.9,58.4,Clayey,Ground Nuts,DAP
105,7,95,24.3,34.0,32.9,Clayey,Millets,DAP
83,87,85,40.7,65.9,51.8,Black,Maize,28-28
103,65,54,36.9,22.2,31.4,Clayey,Tobacco,Urea
140,9,8,19.6,99.1,57.7,Red,Cotton,DAP
92,70,66,26.8,78.9,55.9,Sandy,Maize,28-28
89,16,17,44.8,47.2,38.7,Black,Maize,DAP
113,0,57,41.3,97.8,11.4,Red,Sugarcane,DAP
40,104,132,16.1,29.1,53.3,Black,Ground Nuts,14-35-14
67,138,55,32.4,58.4,47.9,Clayey,Oil seeds,14-35-14
46,70,153,41.8,50.1,49.0,Clayey,Cotton,DAP
115,108,135,20.6,42.5,52.8,Loamy,Tobacco,17-17-17
67,121,14,41.4,53.6,14.8,Black,Oil seeds,14-35-14
23,23,3,19.5,89.3,37.0,Clayey,Ground Nuts,Urea
22,108,68,26.8,61.0,36.6,Red,Millets,Urea
56,137,167,21.8,40.2,25.2,Clayey,Barley,28-28
85,46,195,44.0,33.3,43.2,Black,Cotton,10-26-26
140,86,57,24.1,42.0,45.6,Clayey,Oil seeds,14-35-14
125,122,46,39.2,98.7,47.7,Black,Ground Nuts,14-35-14
15,58,30,37.6,15.8,23.5,Clayey,Paddy,20-20
138,9,16,33.0,39.5,45.7,Sandy,Oil seeds,DAP
101,64,190,30.3,45.8,56.6,Clayey,Paddy,DAP
0,121,166,40.5,43.6,11.5,Black,Millets,Urea
69,5,83,44.4,87.7,45.1,Clayey,Oil seeds,DAP
80,14,99,38.6,77.2,29.2,Sandy,Wheat,DAP
115,77,57,33.5,86.5,14.9,Black,Cotton,14-35-14
82,26,79,40.9,29.4,50.0,Sandy,Cotton,DAP
79,122,42,41.0,27.5,25.5,Black,Cotton,10-26-26
56,71,6,24.4,94.4,52.5,Black,Sugarcane,10-26-26
71,123,112,15.6,47.6,19.6,Black,Cotton,28-28
4,56,155,27.1,19.9,49.2,Sandy,Maize,10-26-26
18,122,193,21.2,46.8,59.1,Sandy,Sugarcane,10-26-26
127,53,147,23.3,37.8,31.6,Black,Tobacco,Urea
61,16,65,44.1,23.7,30.2,Loamy,Millets,DAP
70,130,9,30.5,77.7,41.5,Loamy,Paddy,DAP
